Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000269509	-	-	
ENSG00000269510	-	-	
ENSG00000269514	-	-	
ENSG00000269515	-	-	
ENSG00000269516	-	-	
ENSG00000269519	-	-	
ENSG00000269524	-	-	
ENSG00000269526	ERVV-1	ENVV1; HERV-V1	
ENSG00000269529	-	-	
ENSG00000269531	-	-	
ENSG00000269533	-	-	
ENSG00000269534	-	-	
ENSG00000269535	-	-	
ENSG00000269540	-	-	
ENSG00000269543	-	-	
ENSG00000269545	-	-	
ENSG00000269546	-	-	
ENSG00000269547	-	-	
ENSG00000269549	-	-	
ENSG00000269552	-	-	
ENSG00000269553	-	-	
ENSG00000269554	-	-	
ENSG00000269558	-	-	
ENSG00000269559	-	-	
ENSG00000269560	-	-	
ENSG00000269563	-	-	
ENSG00000269564	-	-	
ENSG00000269565	-	-	
ENSG00000269570	-	-	
ENSG00000269574	-	-	
ENSG00000269575	-	-	
ENSG00000269576	-	-	
ENSG00000269578	-	-	
ENSG00000269580	-	-	
ENSG00000269583	-	-	
ENSG00000269584	-	-	
ENSG00000269588	-	-	
ENSG00000269590	-	-	
ENSG00000269591	-	-	
ENSG00000269599	-	-	
ENSG00000269600	-	-	
ENSG00000269601	-	-	
ENSG00000269604	-	-	
ENSG00000269605	-	-	
ENSG00000269608	-	-	
ENSG00000269609	C10orf95-AS1	RPARP-AS1	
ENSG00000269614	-	-	
ENSG00000269615	-	-	
ENSG00000269619	-	-	
ENSG00000269620	-	-	
ENSG00000269621	-	-	
ENSG00000269622	-	-	
ENSG00000269624	-	-	
ENSG00000269630	-	-	
ENSG00000269633	-	-	
ENSG00000269635	-	-	
ENSG00000269636	-	-	
ENSG00000269637	-	-	
ENSG00000269640	-	-	
ENSG00000269641	-	-	
ENSG00000269646	-	-	
ENSG00000269647	-	-	
ENSG00000269650	-	-	
ENSG00000269651	-	-	
ENSG00000269652	-	-	
ENSG00000269653	-	-	
ENSG00000269656	NOP53-AS1	GLTSCR2-AS1	
ENSG00000269657	-	-	
ENSG00000269662	-	-	
ENSG00000269667	-	-	
ENSG00000269676	-	-	
ENSG00000269678	-	-	
