Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000069431		SUR2	ABCC9
ENSG00000069431		CMD1O	ABCC9
ENSG00000124574		EST182763	ABCC10
ENSG00000124574		MRP7	ABCC10
ENSG00000124574		SIMRP7	ABCC10
ENSG00000121270		MRP8	ABCC11
ENSG00000140798		MRP9	ABCC12
ENSG00000243064		PRED6	ABCC13
ENSG00000243064		C21orf73	ABCC13
ENSG00000243064		ABCC13P	ABCC13
ENSG00000101986	ALD	AMN	ABCD1
ENSG00000101986	ALD	ALDP	ABCD1
ENSG00000101986	ALD	adrenoleukodystrophy	ABCD1
			ABCD1P1
ENSG00000215151		bA453N3.6	ABCD1P2
ENSG00000261233			ABCD1P3
ENSG00000225293			ABCD1P4
ENSG00000214330			ABCD1P5
ENSG00000173208	ALDL1	ALDR	ABCD2
ENSG00000173208	ALDL1	ALDRP	ABCD2
ENSG00000117528	PXMP1	PMP70	ABCD3
ENSG00000117528	PXMP1	ZWS2	ABCD3
ENSG00000119688	PXMP1L	PMP69	ABCD4
ENSG00000119688	PXMP1L	P70R	ABCD4
ENSG00000119688	PXMP1L	EST352188	ABCD4
ENSG00000164163	RNASEL1	RLI	ABCE1
ENSG00000164163	RNASELI	RLI	ABCE1
ENSG00000164163	RNS4I	RLI	ABCE1
ENSG00000164163	RNASEL1	OABP	ABCE1
ENSG00000164163	RNASELI	OABP	ABCE1
ENSG00000164163	RNS4I	OABP	ABCE1
ENSG00000164163	RNASEL1	RLI1	ABCE1
ENSG00000164163	RNASELI	RLI1	ABCE1
ENSG00000164163	RNS4I	RLI1	ABCE1
ENSG00000204574	ABC50	EST123147	ABCF1
			ABCF1-DT
ENSG00000033050		EST133090	ABCF2
ENSG00000033050		ABC28	ABCF2
ENSG00000033050		M-ABC1	ABCF2
ENSG00000033050		HUSSY-18	ABCF2
ENSG00000285292			ABCF2-H2BE1
ENSG00000242159			ABCF2P1
ENSG00000228769			ABCF2P2
ENSG00000161204		EST201864	ABCF3
ENSG00000160179		ABC8	ABCG1
ENSG00000118777		EST157481	ABCG2
ENSG00000118777		MXR	ABCG2
ENSG00000118777		BCRP	ABCG2
ENSG00000118777		ABCP	ABCG2
ENSG00000118777		CD338	ABCG2
ENSG00000172350		WHITE2	ABCG4
ENSG00000138075		STSL	ABCG5
ENSG00000143921		GBD4	ABCG8
ENSG00000143994		LABH1	ABHD1
ENSG00000143994		FLJ36128	ABHD1
ENSG00000140526		LABH2	ABHD2
ENSG00000158201		LABH3	ABHD3
ENSG00000100439		FLJ12816	ABHD4
ENSG00000011198		CGI-58	ABHD5
ENSG00000011198		NCIE2	ABHD5
ENSG00000163686			ABHD6
ENSG00000127220		FLJ11743	ABHD8
ENSG00000127220		MGC14280	ABHD8
ENSG00000127220		MGC2512	ABHD8
ENSG00000144827		FLJ11342	ABHD10
ENSG00000106077	WBSCR21	PP1226	ABHD11
ENSG00000225969	WBSCR26	NCRNA00035	ABHD11-AS1
ENSG00000225969	LINC00035	NCRNA00035	ABHD11-AS1
			ABHD11-AS2
ENSG00000100997	C20orf22	DKFZP434P106	ABHD12
ENSG00000100997	C20orf22	dJ965G21.2	ABHD12
ENSG00000100997	C20orf22	BEM46L2	ABHD12
ENSG00000100997	C20orf22	ABHD12A	ABHD12
ENSG00000131969	C14orf29	BEM46L3	ABHD12B
ENSG00000139826	C13orf6	bA153I24.2	ABHD13
ENSG00000139826	C13orf6	FLJ14906	ABHD13
ENSG00000139826	C13orf6	BEM46L1	ABHD13
ENSG00000248487		DKFZP564O243	ABHD14A
ENSG00000248487		DORZ1	ABHD14A
ENSG00000114786			ABHD14A-ACY1
ENSG00000114779		MGC15429	ABHD14B
ENSG00000114779		CIB	ABHD14B
ENSG00000168792			ABHD15
ENSG00000264031		linc-TP53I13	ABHD15-AS1
ENSG00000264031		lnc-TP53I13	ABHD15-AS1
ENSG00000204427	BAT5	NG26	ABHD16A
ENSG00000204427	BAT5	D6S82E	ABHD16A
ENSG00000183260	C20orf135	dJ591C20.1	ABHD16B
ENSG00000129968	C19orf27	MGC5244	ABHD17A
ENSG00000129968	FAM108A1	MGC5244	ABHD17A
ENSG00000198658	FAM108A2	C1orf47	ABHD17AP1
ENSG00000198658	ABHD17AP2	C1orf47	ABHD17AP1
ENSG00000198658	FAM108A3	C1orf47	ABHD17AP1
ENSG00000198658	FAM108A11P	C1orf47	ABHD17AP1
ENSG00000198658	FAM108A3P	C1orf47	ABHD17AP1
ENSG00000250536	FAM108A4		ABHD17AP3
ENSG00000250536	FAM108A4P		ABHD17AP3
ENSG00000229107	FAM108A5		ABHD17AP4
ENSG00000229107	FAM108A5P		ABHD17AP4
ENSG00000263366	FAM108A6		ABHD17AP5
ENSG00000263366	FAM108A6P		ABHD17AP5
ENSG00000226981	FAM108A7P		ABHD17AP6
ENSG00000260864	FAM108A8P		ABHD17AP7
ENSG00000260540	FAM108A9P		ABHD17AP8
ENSG00000261536	FAM108A10P		ABHD17AP9
ENSG00000107362	C9orf77	CGI-67	ABHD17B
ENSG00000107362	FAM108B1	CGI-67	ABHD17B
ENSG00000136379	FAM108C1		ABHD17C
ENSG00000164074	C4orf29	FLJ21106	ABHD18
ENSG00000136754	SSH3BP1	E3B1	ABI1
ENSG00000136754	SSH3BP1	ABI-1	ABI1
ENSG00000271484	SSH3BP1P		ABI1P1
ENSG00000271484	ABI1P		ABI1P1
ENSG00000138443		ABI-2	ABI2
ENSG00000138443		AIP-1	ABI2
